NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"5961308373";55;53;0;2;13;7;6;53,85;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961308375";596;586;1;9;41;35;15;85,37;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961308407";41;38;0;3;7;5;4;71,43;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961308410";25;23;0;2;6;3;2;50;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961308412";185;180;0;5;40;36;35;90;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961308444";48;46;0;2;8;5;0;62,50;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961308445";24;24;0;0;2;1;1;50;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961308447";216;206;2;8;34;29;23;85,29;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961308587";125;123;0;2;22;11;4;50;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961308601";345;336;0;9;62;57;31;91,94;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961308602";195;193;1;1;28;28;18;100;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961309094";40;40;0;0;5;4;1;80;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961309095";112;108;0;4;6;6;1;100;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961309096";133;37;7;89;1;1;1;100;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961309097";34;15;1;18;5;5;5;100;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961309120";120;116;1;3;9;8;1;88,89;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961309149";14;14;0;0;1;1;1;100;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961309150";3;3;0;0;1;1;0;100;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961309174";9;9;0;0;1;1;1;100;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961309176";18;18;0;0;3;1;1;33,33;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961309179";54;53;0;1;5;4;2;80;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961309179ZF";7;7;0;0;1;1;1;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961309203";26;18;0;8;2;1;0;50;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961309535";30;11;0;19;2;1;1;50;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5A13115";14;14;0;0;2;2;1;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"620160";67;63;1;3;15;6;0;40;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"601574";11;11;0;0;1;1;1;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"61472";16;15;0;1;4;3;0;75;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"620140";183;179;0;4;29;1;0;3,45;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"620150";2;2;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"621337";8;8;0;0;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"65331180000";106;70;4;32;17;12;0;70,59;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"644113";3;2;1;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"65329030001";30;25;0;5;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"673005766";8;8;0;0;1;1;1;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"673011113";5;5;0;0;1;1;1;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"68018555AA";141;112;0;29;21;1;0;4,76;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"68142478AB";11;10;0;1;2;2;2;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"68225344AA";362;340;3;19;74;63;58;85,14;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"68233701AA";78;64;1;13;7;7;7;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"68233701AB";5;4;0;1;1;1;1;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"68233701AC";44;42;1;1;17;14;9;82,35;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"68259490AC";5;1;4;0;1;1;1;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"68261170AA";63;30;0;33;1;1;1;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"68266725AA";8;8;0;0;1;1;1;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"68843";16;15;0;1;7;7;7;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"70317SET";6;6;0;0;3;3;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"70161350001";78;64;2;12;5;5;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"70033SET";18;18;0;0;3;3;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"70033SETAIC";2;2;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
