GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);VALEO;SACHS;HERTH+BUSS JAKOPARTS;JAPANPARTS;AISIN;BorgWarner;BLUE PRINT;EXEDY;RYMEC;Schaeffler LuK
479;Kupplungssatz;2420714;15;0,0082;1;0;0;0;0;0;0;0;1;1
479;Kupplungssatz;242097;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;242106;2;0,0011;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;242108;4;0,0022;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;242112;3;0,0016;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;242113;6;0,0033;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;242114;2;0,0011;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;242122;2;0,0011;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;24214;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;24215;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;24248779;1;0,0005;1;0;0;0;0;0;0;0;1;0
479;Kupplungssatz;24266041;12;0,0066;1;1;0;0;0;0;0;1;0;0
479;Kupplungssatz;24280088;40;0,0219;0;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;24281250;3;0,0016;0;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;243699;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;24407515727;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2441000Q4J;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;244103;7;0,0038;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2441590;10;0,0055;1;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;24422061;141;0,0771;1;0;0;1;1;0;1;0;1;1
479;Kupplungssatz;24422062;7;0,0038;1;1;0;0;1;0;1;0;1;1
479;Kupplungssatz;24423459;4;0,0022;1;1;0;0;1;0;1;0;1;1
479;Kupplungssatz;24424957;4;0,0022;1;0;0;1;1;0;1;0;1;1
479;Kupplungssatz;24436441;14;0,0077;1;1;0;0;1;0;1;0;1;1
479;Kupplungssatz;24436442;3;0,0016;1;1;0;0;1;0;1;0;1;1
479;Kupplungssatz;24467886;1;0,0005;0;0;0;0;1;0;1;0;1;1
479;Kupplungssatz;245502;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;24583157;21;0,0115;0;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;245988;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2460073;8;0,0044;0;1;0;0;1;0;0;1;0;1
479;Kupplungssatz;2460870;1;0,0005;1;1;0;0;1;0;0;0;0;1
479;Kupplungssatz;2465619;36;0,0197;0;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;2465641;133;0,0727;1;1;0;0;1;0;0;0;0;1
479;Kupplungssatz;2465643;65;0,0355;1;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;2472500000;2;0,0011;0;1;0;0;0;0;0;1;0;1
479;Kupplungssatz;247394;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2478298;6;0,0033;1;1;0;0;0;0;0;0;1;1
479;Kupplungssatz;249186;2;0,0011;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2492120;3;0,0016;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;249225;2;0,0011;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;249229;5;0,0027;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;249234;3;0,0016;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;249384;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;249949;7;0,0038;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;249950;3;0,0016;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2499965;33;0,018;1;1;0;0;0;0;1;0;1;1
479;Kupplungssatz;25012;3;0,0016;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;250739;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2509855;35;0,0191;1;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;251149;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2516846;44;0,0241;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;2516868;169;0,0924;1;1;0;0;1;0;0;0;0;0
479;Kupplungssatz;2517838;3;0,0016;1;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;25182560;1;0,0005;1;1;0;0;0;0;1;0;1;0
479;Kupplungssatz;25183087;3;0,0016;1;0;0;1;0;0;0;0;1;0
479;Kupplungssatz;25184623;1;0,0005;0;1;0;1;0;0;1;0;1;1
479;Kupplungssatz;25185062;1;0,0005;0;1;0;1;0;0;1;0;1;1
479;Kupplungssatz;25186768;3;0,0016;1;1;0;1;0;0;1;0;1;1
479;Kupplungssatz;25187231;5;0,0027;1;1;0;1;0;0;0;1;1;0
479;Kupplungssatz;25190235;4;0,0022;1;1;0;1;0;0;0;0;0;0
479;Kupplungssatz;25190864;1;0,0005;1;0;0;1;0;0;0;0;0;0
479;Kupplungssatz;25191310;3;0,0016;1;1;0;1;0;0;0;1;1;1
479;Kupplungssatz;25191312;2;0,0011;1;1;0;0;1;0;0;0;1;1
