GENART_DESC;GENARTNR;TYPENR;BSK_POS;RATIO (%);AISIN;Schaeffler LuK;BLUE PRINT;EXEDY;VALEO;JAPANPARTS;BorgWarner;HERTH+BUSS JAKOPARTS;RYMEC;SACHS
Kupplungssatz;479;15468;11;0,0069;2;5;5;2;4;2;0;1;4;3
Kupplungssatz;479;54935;1;0,0006;0;3;2;0;4;0;0;0;0;0
Kupplungssatz;479;115114;5;0,0031;1;6;0;4;2;1;0;1;1;3
Kupplungssatz;479;18462;7;0,0044;3;4;6;2;7;2;0;1;5;3
Kupplungssatz;479;17203;17;0,0106;2;2;3;2;5;0;0;2;2;5
Kupplungssatz;479;14368;1;0,0006;1;1;0;1;1;0;0;0;1;1
Kupplungssatz;479;141975;1;0,0006;0;2;0;1;4;0;0;0;0;2
Kupplungssatz;479;58715;1;0,0006;3;2;1;3;2;1;0;1;0;1
Kupplungssatz;479;107895;2;0,0012;3;2;1;2;2;0;0;0;2;1
Kupplungssatz;479;16025;1;0,0006;1;1;1;1;1;3;0;1;1;1
