NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"024624401133";2;2;0;0;3;3;0;100;0;0;0;0;479;"Kupplungssatz"
"024786043";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"025041397";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"025141025";4;3;0;1;1;1;1;100;1;0;1;0;479;"Kupplungssatz"
"025141031DX";5;5;0;0;1;1;0;100;1;0;0;0;479;"Kupplungssatz"
"0252502301";30;26;0;4;2;2;0;100;0;0;1;0;479;"Kupplungssatz"
"0252502401";4;3;0;1;1;1;1;100;0;0;0;0;479;"Kupplungssatz"
"0252503601";7;6;0;1;1;1;1;100;0;0;1;0;479;"Kupplungssatz"
"0252503901";6;6;0;0;2;2;2;100;0;0;1;0;479;"Kupplungssatz"
"0252505501";6;4;0;2;2;2;2;100;0;0;1;0;479;"Kupplungssatz"
"0252505901";32;30;0;2;3;3;0;100;1;0;1;0;479;"Kupplungssatz"
"0252506001";8;6;0;2;1;1;1;100;0;0;1;0;479;"Kupplungssatz"
"0252507001";57;56;0;1;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0252507701";6;6;0;0;1;1;1;100;0;0;1;0;479;"Kupplungssatz"
"0252508301";16;16;0;0;2;2;1;100;1;0;1;0;479;"Kupplungssatz"
"0252509601";32;32;0;0;5;5;1;100;1;0;1;0;479;"Kupplungssatz"
"025600032600";2;1;1;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0262500501";59;52;0;7;12;12;1;100;1;0;1;0;479;"Kupplungssatz"
"0262500701";45;39;0;6;5;5;0;100;1;0;1;0;479;"Kupplungssatz"
"0262501001";37;33;0;4;2;2;0;100;1;0;1;0;479;"Kupplungssatz"
"0262501501";17;17;0;0;3;3;3;100;1;0;1;0;479;"Kupplungssatz"
"0262508101";7;7;0;0;1;1;0;100;0;0;1;0;479;"Kupplungssatz"
"0262508901";1;1;0;0;1;1;1;100;0;0;1;0;479;"Kupplungssatz"
"027141025F";5;5;0;0;3;1;0;33,33;1;0;1;0;479;"Kupplungssatz"
"027141025M";9;9;0;0;2;2;0;100;1;0;1;0;479;"Kupplungssatz"
"027141025N";23;23;0;0;2;1;1;50;1;0;1;0;479;"Kupplungssatz"
"027141025T";77;72;0;5;15;13;1;86,67;1;0;1;0;479;"Kupplungssatz"
"027141031J";4;4;0;0;2;2;0;100;0;0;0;0;479;"Kupplungssatz"
"027141032A";5;5;0;0;2;2;0;100;1;0;1;0;479;"Kupplungssatz"
"027141032B";10;10;0;0;3;2;0;66,67;1;0;1;0;479;"Kupplungssatz"
"027141033S";40;40;0;0;4;4;0;100;1;0;1;0;479;"Kupplungssatz"
"027141033T";6;6;0;0;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"027198141AX";24;24;0;0;4;4;2;100;0;0;1;0;479;"Kupplungssatz"
"027198141X";102;97;2;3;19;16;12;84,21;1;0;1;0;479;"Kupplungssatz"
"027200300";5;5;0;0;2;2;0;100;0;0;0;1;479;"Kupplungssatz"
"0272500201";6;4;0;2;1;1;1;100;0;0;1;0;479;"Kupplungssatz"
"028105264B";46;39;0;7;2;2;0;100;0;0;0;0;479;"Kupplungssatz"
"028105264K";17;16;0;1;1;1;1;100;0;0;0;0;479;"Kupplungssatz"
"028105266A";212;202;0;10;14;7;0;50;0;0;1;0;479;"Kupplungssatz"
"028105266K";31;20;0;11;1;1;0;100;0;0;1;0;479;"Kupplungssatz"
"028141025E";2;2;0;0;1;1;0;100;0;0;1;0;479;"Kupplungssatz"
"028141025F";25;24;0;1;4;4;0;100;1;0;1;0;479;"Kupplungssatz"
"028141025P";88;80;0;8;10;9;0;90;1;0;1;0;479;"Kupplungssatz"
"028141025PX";191;162;2;27;6;6;3;100;1;0;1;0;479;"Kupplungssatz"
"028141026A";31;30;0;1;2;2;0;100;1;0;1;0;479;"Kupplungssatz"
"028141026B";52;46;0;6;8;8;1;100;1;0;1;0;479;"Kupplungssatz"
"028141032C";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
