GENART;LDATE;LKZ;DLNR;DLNRBEZ;QTY_POS
273;"2026/2";"ROW";4414;"TEKNOROT";51
273;"2026/2";"West Europe";6355;"NTY";109
273;"2026/2";"Balkan";4667;"STC";1
273;"2026/2";"Nordic";37;"MONROE";42
273;"2026/2";"West Europe";162;"VAICO";14
273;"2026/2";"West Europe";350;"BLUE PRINT";32
273;"2026/2";"ROW";403;"MAXGEAR";119
273;"2026/2";"Balkan";108;"TRISCAN";5
273;"2026/2";"Balkan";301;"TOPRAN";51
273;"2026/2";"Balkan";478;"BGA";79
273;"2026/2";"B";108;"TRISCAN";641
273;"2026/2";"B";127;"NK";1770
273;"2026/2";"Romania";192;"FAG";639
273;"2026/2";"Romania";403;"MAXGEAR";1265
273;"2026/2";"Austria";161;"TRW";755
273;"2026/2";"Nordic";35;"LEMFÖRDER";129
273;"2026/2";"West Europe";35;"LEMFÖRDER";478
273;"2026/2";"West Europe";89;"DELPHI";435
273;"2026/2";"Slovenia";35;"LEMFÖRDER";1110
273;"2026/2";"Romania";89;"DELPHI";6439
273;"2026/2";"N";89;"DELPHI";352
273;"2026/2";"Nordic";144;"MEYLE";1572
273;"2026/2";"Nordic";156;"JAPANPARTS";325
273;"2026/2";"West Europe";6983;"ProfiPower";52
273;"2026/2";"SEE";134;"MOOG";18
273;"2026/2";"Slovenia";156;"JAPANPARTS";380
273;"2026/2";"Germany";156;"JAPANPARTS";1260
273;"2026/2";"Other";101;"FEBI BILSTEIN";73
273;"2026/2";"Nordic";403;"MAXGEAR";310
273;"2026/2";"West Europe";350;"BLUE PRINT";26
273;"2026/2";"West Europe";134;"MOOG";269
273;"2026/2";"Other";4564;"MOTAQUIP";30
273;"2026/2";"Balkan";144;"MEYLE";473
273;"2026/2";"Spain";151;"SWAG";335
273;"2026/2";"SEE";35;"LEMFÖRDER";4
273;"2026/2";"EEU";430;"RTS";1
273;"2026/2";"Slovenia";89;"DELPHI";63
273;"2026/2";"SEE";108;"TRISCAN";5
273;"2026/2";"SEE";260;"SASIC";2
273;"2026/2";"SEE";373;"GSP";1
273;"2026/2";"Switzerland";161;"TRW";1567
273;"2026/2";"Balkan";127;"NK";25
273;"2026/2";"ROW";151;"SWAG";2
273;"2026/2";"EEU";89;"DELPHI";180
273;"2026/2";"SEE";373;"GSP";3
273;"2026/2";"N";201;"KAVO PARTS";5
273;"2026/2";"N";350;"BLUE PRINT";18
273;"2026/2";"Germany";4391;"EUROREPAR";36
273;"2026/2";"Other";267;"FAI AutoParts";1
273;"2026/2";"West Europe";156;"JAPANPARTS";15
273;"2026/2";"Other";35;"LEMFÖRDER";209
273;"2026/2";"West Europe";95;"MAGNETI MARELLI";38
273;"2026/2";"ROW";405;"CAUTEX";1
273;"2026/2";"West Europe";4593;"TEDGUM";20
273;"2026/2";"Germany";135;"SIDEM";505
273;"2026/2";"EEU";4593;"TEDGUM";1
273;"2026/2";"Germany";36;"VAN WEZEL";103
273;"2026/2";"Other";4593;"TEDGUM";1
273;"2026/2";"Slovenia";85;"KYB";13
273;"2026/2";"Austria";4938;"FAST";9
273;"2026/2";"Switzerland";89;"DELPHI";31
273;"2026/2";"EEU";403;"MAXGEAR";9
273;"2026/2";"Nordic";206;"A.B.S.";7
273;"2026/2";"Germany";4657;"ABAKUS";4
273;"2026/2";"Germany";4546;"KRAFT AUTOMOTIVE";24
273;"2026/2";"Portugal";144;"MEYLE";15
273;"2026/2";"EEU";101;"FEBI BILSTEIN";206
273;"2026/2";"Balkan";144;"MEYLE";12
273;"2026/2";"Other";403;"MAXGEAR";4
273;"2026/2";"Other";101;"FEBI BILSTEIN";9
273;"2026/2";"Austria";6892;"REINHOCH";3
273;"2026/2";"Other";403;"MAXGEAR";1
273;"2026/2";"Nordic";134;"MOOG";3
273;"2026/2";"West Europe";2789;"NAPA Germany";5
273;"2026/2";"Nordic";35;"LEMFÖRDER";2439
273;"2026/2";"Nordic";156;"JAPANPARTS";14
273;"2026/2";"Switzerland";430;"RTS";8
273;"2026/2";"Other";127;"NK";1
273;"2026/2";"Slovenia";4623;"SAMPA";9
273;"2026/2";"Slovenia";129;"OPTIMAL";94
273;"2026/2";"Nordic";162;"VAICO";3
273;"2026/2";"Other";4674;"FEBEST";6
273;"2026/2";"SEE";50;"SKF";5
273;"2026/2";"Slovenia";350;"BLUE PRINT";6
273;"2026/2";"SEE";260;"SASIC";2
273;"2026/2";"Other";144;"MEYLE";11
273;"2026/2";"SEE";135;"SIDEM";2
273;"2026/2";"West Europe";4391;"EUROREPAR";1
273;"2026/2";"Other";4758;"TALOSA";1
273;"2026/2";"Other";373;"GSP";1
273;"2026/2";"Romania";206;"A.B.S.";2
273;"2026/2";"Nordic";5343;"YSPARTS";2
273;"2026/2";"SEE";37;"MONROE";4
273;"2026/2";"Other";101;"FEBI BILSTEIN";5
273;"2026/2";"Other";144;"MEYLE";25
273;"2026/2";"SEE";57;"QUINTON HAZELL";8
273;"2026/2";"Balkan";192;"FAG";202
273;"2026/2";"Other";201;"KAVO PARTS";1
273;"2026/2";"Croatia";4564;"MOTAQUIP";225
273;"2026/2";"SEE";4834;"FARE SA";1
273;"2026/2";"Germany";5481;"Frankberg";3
273;"2026/2";"Other";403;"MAXGEAR";2
273;"2026/2";"SEE";127;"NK";3
273;"2026/2";"Other";101;"FEBI BILSTEIN";1
273;"2026/2";"B";268;"JP GROUP";1
273;"2026/2";"Other";156;"JAPANPARTS";4
273;"2026/2";"SEE";42;"DAYCO";1
273;"2026/2";"Spain";127;"NK";2
273;"2026/2";"Other";134;"MOOG";16
273;"2026/2";"N";2789;"NAPA Germany";3
273;"2026/2";"SEE";95;"MAGNETI MARELLI";2
273;"2026/2";"Slovenia";6558;"AIC";2
273;"2026/2";"B";161;"TRW";37
273;"2026/2";"SEE";151;"SWAG";20
273;"2026/2";"SEE";4758;"TALOSA";27
273;"2026/2";"Spain";161;"TRW";7
273;"2026/2";"Other";144;"MEYLE";3
273;"2026/2";"Croatia";481;"JAPKO";391
273;"2026/2";"Austria";253;"DIEDERICHS";89
273;"2026/2";"Other";4414;"TEKNOROT";1184
273;"2026/2";"Serbia";108;"TRISCAN";35
273;"2026/2";"SEE";129;"OPTIMAL";2
273;"2026/2";"Spain";156;"JAPANPARTS";1
273;"2026/2";"B";430;"RTS";8
273;"2026/2";"SEE";6466;"OE Germany";7
273;"2026/2";"West Europe";350;"BLUE PRINT";7
273;"2026/2";"Serbia";186;"DENCKERMANN";45
273;"2026/2";"Slovenia";268;"JP GROUP";1
273;"2026/2";"Balkan";4938;"FAST";4
273;"2026/2";"N";151;"SWAG";25
273;"2026/2";"Slovenia";4468;"YAMATO";1
273;"2026/2";"Balkan";134;"MOOG";25
273;"2026/2";"Germany";5258;"SRLine";3
273;"2026/2";"Other";144;"MEYLE";1
273;"2026/2";"Austria";205;"NRF";2
273;"2026/2";"Balkan";4468;"YAMATO";3
273;"2026/2";"Balkan";4667;"STC";1
273;"2026/2";"West Europe";267;"FAI AutoParts";1
273;"2026/2";"Other";4938;"FAST";3
273;"2026/2";"Germany";57;"QUINTON HAZELL";3
273;"2026/2";"Other";144;"MEYLE";1
273;"2026/2";"Austria";4869;"RED-LINE";1
273;"2026/2";"West Europe";486;"FRAP";1
273;"2026/2";"Serbia";94;"METZGER";6
273;"2026/2";"Serbia";4595;"STELLOX";1
273;"2026/2";"B";37;"MONROE";3
273;"2026/2";"Croatia";55;"HERTH+BUSS JAKOPARTS";1
273;"2026/2";"Slovenia";4657;"ABAKUS";2
273;"2026/2";"N";358;"MASTER-SPORT GERMANY";2
273;"2026/2";"Spain";37;"MONROE";2
273;"2026/2";"Slovenia";162;"VAICO";1
273;"2026/2";"Other";144;"MEYLE";2
273;"2026/2";"SEE";55;"HERTH+BUSS JAKOPARTS";5
273;"2026/2";"Nordic";134;"MOOG";76
