GENART_DESC;GENARTNR;TYPENR;BSK_POS;RATIO (%);AISIN;Schaeffler LuK;BLUE PRINT;EXEDY;VALEO;JAPANPARTS;HERTH+BUSS JAKOPARTS;WESTLAKE;RYMEC;SACHS
Kupplungssatz;479;18814;1;0,0006;0;0;0;0;1;0;0;0;1;0
Kupplungssatz;479;57197;1;0,0006;0;1;0;0;1;0;1;0;1;1
Kupplungssatz;479;8687;3;0,0018;0;5;0;0;1;0;0;0;0;2
Kupplungssatz;479;18453;2;0,0012;1;2;2;0;7;1;1;1;2;2
Kupplungssatz;479;8318;13;0,008;0;2;2;1;2;0;0;3;2;2
Kupplungssatz;479;19859;87;0,0534;1;1;2;1;1;1;1;1;1;2
Kupplungssatz;479;30875;31;0,019;2;5;3;2;3;2;2;2;2;1
Kupplungssatz;479;30357;55;0,0338;1;2;2;2;1;1;1;1;1;1
Kupplungssatz;479;27529;78;0,0479;1;1;2;1;2;2;1;1;1;1
Kupplungssatz;479;13932;66;0,0405;2;3;1;0;4;2;1;0;2;2
Kupplungssatz;479;13926;9;0,0055;1;2;1;2;3;1;1;0;1;3
Kupplungssatz;479;113152;1;0,0006;0;0;0;0;0;0;0;0;0;0
Kupplungssatz;479;14283;1;0,0006;0;0;0;2;2;0;0;0;2;2
Kupplungssatz;479;135019;2;0,0012;2;0;0;2;0;0;1;0;0;0
Kupplungssatz;479;19879;5;0,0031;1;3;3;3;5;3;2;1;2;1
Kupplungssatz;479;10930;33;0,0203;2;2;2;2;3;3;0;5;5;3
Kupplungssatz;479;6803;16;0,0098;0;2;2;2;4;0;2;0;2;3
Kupplungssatz;479;4472;3;0,0018;1;1;1;1;1;1;0;1;0;0
Kupplungssatz;479;15932;9;0,0055;1;2;2;2;4;0;1;1;2;5
Kupplungssatz;479;131936;9;0,0055;1;3;1;2;6;1;2;2;0;3
Kupplungssatz;479;33330;10;0,0061;3;5;6;3;6;2;2;3;4;3
Kupplungssatz;479;10480;9;0,0055;0;3;2;1;1;0;0;0;1;1
Kupplungssatz;479;26753;4;0,0025;0;3;2;2;3;0;1;0;1;3
Kupplungssatz;479;20074;3;0,0018;3;5;2;1;5;0;0;0;4;2
Kupplungssatz;479;12102;2;0,0012;1;2;2;0;6;1;1;1;2;2
Kupplungssatz;479;16105;53;0,0326;2;6;4;4;4;2;1;2;2;3
Kupplungssatz;479;28233;19;0,0117;8;8;10;7;15;2;4;8;11;6
Kupplungssatz;479;18796;56;0,0344;1;2;2;1;4;0;1;0;2;1
Kupplungssatz;479;15890;149;0,0915;2;5;2;2;2;1;2;2;2;3
Kupplungssatz;479;6003;9;0,0055;1;1;0;1;1;0;0;1;1;1
Kupplungssatz;479;6625;6;0,0037;2;3;3;2;3;0;2;1;2;2
Kupplungssatz;479;32754;68;0,0418;9;12;12;11;17;1;6;9;14;11
Kupplungssatz;479;15705;36;0,0221;1;4;3;2;6;2;1;3;3;5
Kupplungssatz;479;55711;10;0,0061;0;1;1;0;0;0;0;0;0;0
Kupplungssatz;479;142442;42;0,0258;0;3;0;2;1;0;0;0;0;4
Kupplungssatz;479;5854;3;0,0018;1;2;1;1;1;2;1;1;1;1
Kupplungssatz;479;13914;4;0,0025;1;3;2;3;1;0;1;1;1;3
Kupplungssatz;479;15563;8;0,0049;0;1;1;1;1;1;0;0;1;1
Kupplungssatz;479;119480;14;0,0086;0;3;0;3;12;0;0;0;0;5
Kupplungssatz;479;17571;3;0,0018;0;1;1;1;0;1;2;0;1;1
Kupplungssatz;479;8784;2;0,0012;3;5;3;3;0;0;0;2;4;3
Kupplungssatz;479;16553;7;0,0043;1;1;1;1;4;1;1;1;1;1
Kupplungssatz;479;138234;1;0,0006;0;2;0;1;0;0;0;0;0;3
Kupplungssatz;479;130815;1;0,0006;0;0;0;1;0;0;1;0;3;3
Kupplungssatz;479;57394;3;0,0018;1;4;0;2;5;1;2;2;2;2
Kupplungssatz;479;58902;12;0,0074;1;1;0;1;0;0;1;0;0;1
Kupplungssatz;479;148160;1;0,0006;0;1;0;0;0;0;0;0;0;0
Kupplungssatz;479;28136;13;0,008;2;7;2;3;10;6;2;2;2;4
Kupplungssatz;479;17294;2;0,0012;0;2;0;0;1;0;0;0;0;1
Kupplungssatz;479;8731;2;0,0012;1;2;1;0;1;0;0;2;2;2
Kupplungssatz;479;22928;6;0,0037;0;6;1;5;1;0;0;0;0;1
Kupplungssatz;479;17741;1;0,0006;1;1;1;1;3;1;0;0;0;1
Kupplungssatz;479;15600;1;0,0006;1;3;1;1;7;1;1;1;2;3
Kupplungssatz;479;31317;52;0,0319;3;9;4;6;11;1;1;5;7;10
Kupplungssatz;479;118562;3;0,0018;0;0;0;0;3;0;0;0;0;1
Kupplungssatz;479;55786;2;0,0012;1;5;1;2;5;1;2;1;2;2
Kupplungssatz;479;109624;2;0,0012;1;1;1;0;1;1;0;1;0;1
Kupplungssatz;479;111896;1;0,0006;1;1;0;1;2;1;0;0;2;3
Kupplungssatz;479;31537;16;0,0098;1;2;0;2;4;0;1;0;2;1
Kupplungssatz;479;119014;6;0,0037;2;1;1;1;2;0;1;0;1;1
Kupplungssatz;479;111784;8;0,0049;0;2;1;2;5;0;0;0;2;3
Kupplungssatz;479;18950;3;0,0018;2;2;1;2;3;0;0;1;2;2
Kupplungssatz;479;131251;81;0,0498;0;3;0;4;0;0;0;0;2;2
Kupplungssatz;479;107798;7;0,0043;1;2;2;1;2;0;1;0;2;1
Kupplungssatz;479;16681;7;0,0043;1;2;3;2;1;1;2;3;2;2
Kupplungssatz;479;8331;3;0,0018;3;1;1;1;2;1;1;2;1;1
Kupplungssatz;479;108817;2;0,0012;1;3;2;2;3;0;1;1;2;4
Kupplungssatz;479;100571;2;0,0012;0;1;2;1;6;0;0;0;0;3
Kupplungssatz;479;126003;2;0,0012;0;2;1;2;5;0;1;0;4;3
Kupplungssatz;479;23432;3;0,0018;1;1;1;1;2;0;0;0;1;1
Kupplungssatz;479;119849;11;0,0068;0;1;0;2;1;1;0;0;0;2
Kupplungssatz;479;119888;4;0,0025;3;3;3;3;4;0;1;3;3;2
Kupplungssatz;479;2110;1;0,0006;2;1;1;1;3;0;0;3;1;1
Kupplungssatz;479;15434;2;0,0012;1;1;2;1;1;3;0;0;1;1
Kupplungssatz;479;133299;1;0,0006;1;2;1;1;2;0;0;0;2;2
Kupplungssatz;479;23503;3;0,0018;3;2;2;2;3;1;2;3;2;4
Kupplungssatz;479;3729;1;0,0006;1;1;1;1;3;0;0;1;1;1
Kupplungssatz;479;135334;1;0,0006;1;2;2;2;0;0;1;0;0;3
Kupplungssatz;479;108567;5;0,0031;3;3;2;3;5;0;2;0;5;4
