GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);VALEO;LEMF?RDER;METZGER AUTOTEILE;MAGNETI MARELLI;FEBI BILSTEIN;MAXGEAR;DOGA;ELECTRIC LIFE;Ac Rolcar;VAN WEZEL
1561;Fensterheber;015051;5;0,014;0;0;0;1;0;0;1;1;1;1
1561;Fensterheber;015052;4;0,0112;0;0;0;1;0;0;1;1;1;1
1561;Fensterheber;015108;2;0,0056;0;0;1;1;1;1;1;1;1;1
1561;Fensterheber;015111;1;0,0028;0;0;1;1;1;1;1;1;1;1
1561;Fensterheber;015116;3;0,0084;0;0;1;1;1;1;1;0;1;1
1561;Fensterheber;015118;3;0,0084;1;0;1;1;0;1;0;1;1;1
1561;Fensterheber;015124;1;0,0028;0;0;0;1;1;1;0;0;1;0
1561;Fensterheber;015142;10;0,0279;1;0;1;1;1;1;0;1;1;1
1561;Fensterheber;015143;6;0,0168;1;0;1;1;1;1;0;1;1;1
1561;Fensterheber;015144;5;0,014;0;0;1;1;0;0;1;0;1;0
1561;Fensterheber;015153;1;0,0028;1;0;1;0;0;0;0;1;1;1
1561;Fensterheber;01534106;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;015509;1;0,0028;0;0;1;1;0;1;0;1;1;0
1561;Fensterheber;015520;3;0,0084;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;015521;7;0,0195;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;015525;1;0,0028;0;0;0;1;0;1;1;1;1;1
1561;Fensterheber;015527;1;0,0028;0;0;1;0;0;0;1;1;1;1
1561;Fensterheber;015545;1;0,0028;0;0;1;1;0;0;1;0;1;0
1561;Fensterheber;015548;1;0,0028;1;0;0;1;0;1;1;1;1;0
1561;Fensterheber;015555;2;0,0056;1;0;0;1;0;0;1;1;1;1
1561;Fensterheber;015560;1;0,0028;1;0;0;1;0;0;0;1;1;0
1561;Fensterheber;015590;10;0,0279;0;0;1;1;0;0;0;0;1;1
1561;Fensterheber;015591;12;0,0335;0;0;1;1;0;0;0;0;1;1
1561;Fensterheber;0160261;2;0,0056;0;0;0;1;0;1;1;1;1;1
1561;Fensterheber;0160262;1;0,0028;0;0;0;1;0;1;1;1;1;1
1561;Fensterheber;0160265;2;0,0056;0;0;0;1;0;0;1;1;0;1
1561;Fensterheber;016401;1;0,0028;0;0;1;0;0;0;1;0;1;0
1561;Fensterheber;016902;1;0,0028;1;0;0;1;0;0;1;1;1;1
1561;Fensterheber;016952;1;0,0028;1;0;0;1;0;0;1;1;1;1
1561;Fensterheber;017004;1;0,0028;1;0;0;1;0;0;1;1;1;1
1561;Fensterheber;017041;1;0,0028;1;0;0;1;0;0;0;0;1;1
1561;Fensterheber;017127;1;0,0028;0;0;0;1;0;0;1;0;1;0
1561;Fensterheber;017132;2;0,0056;1;0;0;1;0;0;1;1;1;0
1561;Fensterheber;017133;1;0,0028;1;0;0;1;0;0;1;1;1;0
1561;Fensterheber;017137;1;0,0028;0;0;0;0;0;0;0;0;1;0
1561;Fensterheber;017223;1;0,0028;1;0;0;0;0;0;1;1;1;1
1561;Fensterheber;017237;1;0,0028;1;0;1;1;0;0;1;1;1;1
1561;Fensterheber;0172608;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;0172713;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;0172746;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;017286;3;0,0084;1;0;1;1;0;0;1;1;1;1
1561;Fensterheber;017287;5;0,014;1;0;1;1;0;0;1;1;1;1
1561;Fensterheber;017303;1;0,0028;1;0;0;1;0;0;0;1;1;0
1561;Fensterheber;017436;1;0,0028;0;0;1;1;1;1;1;1;1;1
1561;Fensterheber;017437;4;0,0112;0;0;1;1;1;1;1;1;1;1
1561;Fensterheber;017451;1;0,0028;0;0;0;1;1;0;1;1;1;1
1561;Fensterheber;017461;1;0,0028;0;0;1;1;0;0;1;1;1;1
1561;Fensterheber;017509;2;0,0056;0;0;1;1;0;0;1;0;1;1
1561;Fensterheber;017544;3;0,0084;0;0;1;1;0;1;1;1;1;1
1561;Fensterheber;017635;1;0,0028;0;0;1;1;0;0;1;1;1;1
1561;Fensterheber;017655;3;0,0084;0;0;0;0;0;0;1;1;1;1
1561;Fensterheber;017669;2;0,0056;0;0;0;0;0;0;1;0;1;0
1561;Fensterheber;017695;1;0,0028;1;0;0;0;0;0;1;1;1;1
1561;Fensterheber;017696;1;0,0028;0;0;1;1;0;0;1;1;1;1
1561;Fensterheber;017698;2;0,0056;0;0;1;1;0;0;1;1;1;0
1561;Fensterheber;017699;3;0,0084;0;0;1;1;0;0;0;1;1;0
1561;Fensterheber;017715;1;0,0028;1;0;1;1;0;0;1;1;1;1
1561;Fensterheber;0177261;2;0,0056;0;0;0;1;0;0;0;1;1;1
1561;Fensterheber;017742;1;0,0028;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;017763OR;1;0,0028;0;0;0;0;0;0;1;1;1;0
1561;Fensterheber;017898;2;0,0056;0;0;0;0;0;0;1;1;1;1
1561;Fensterheber;017927;3;0,0084;0;0;0;1;0;0;1;1;1;1
1561;Fensterheber;017959;1;0,0028;1;0;1;0;1;0;1;1;1;1
1561;Fensterheber;017969;1;0,0028;0;0;1;1;0;0;0;0;1;0
1561;Fensterheber;017979;1;0,0028;0;0;1;1;0;0;1;0;1;0
1561;Fensterheber;017988;1;0,0028;1;0;0;1;0;0;1;1;1;0
1561;Fensterheber;017989;1;0,0028;1;0;0;1;0;0;1;1;1;0
1561;Fensterheber;017995;2;0,0056;1;0;1;1;0;1;1;1;1;0
1561;Fensterheber;017996;1;0,0028;1;0;0;1;0;0;1;1;1;1
1561;Fensterheber;017997;1;0,0028;1;0;0;1;0;0;1;1;1;1
1561;Fensterheber;017999;1;0,0028;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;018030;1;0,0028;1;0;1;0;1;1;1;1;1;0
1561;Fensterheber;018031;1;0,0028;1;0;1;0;1;1;1;1;1;0
1561;Fensterheber;018040;1;0,0028;1;0;1;1;0;0;1;1;1;1
1561;Fensterheber;018041;2;0,0056;1;0;1;1;0;0;1;1;1;1
1561;Fensterheber;018086;1;0,0028;1;0;1;1;0;0;0;1;1;1
